Greetings	Hello	Hi
Greetings	Hi	Hello
Greetings	Greetings!	Hello
Greetings	Hello	Greetings!
Greetings	Hi, How is it going?	Good
Greetings	Hi, How is it going?	Fine
Greetings	Hi, How is it going?	Okay
Greetings	Hi, How is it going?	Great
Greetings	Hi, How is it going?	Could be better.
Greetings	Hi, How is it going?	Not so great.
Greetings	How are you doing?	Good.
Greetings	How are you doing?	Very well, thanks.
Greetings	How are you doing?	Fine, and you?
Greetings	Nice to meet you.	Thank you.
Greetings	How do you do?	I'm doing well.
Greetings	How do you do?	I'm doing well. How are you?
Greetings	Hi, nice to meet you.	Thank you. You too.
Greetings	It is a pleasure to meet you.	Thank you. You too.
Greetings	Top of the morning to you!	Thank you kindly.
Greetings	Top of the morning to you!	And the rest of the day to you.
Greetings	What's up?	Not much.
Greetings	What's up?	Not too much.
Greetings	What's up?	Not much, how about you?
Greetings	What's up?	Nothing much.
Greetings	What's up?	The sky's up but I'm fine thanks. What about you?
